Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No,AGDD,AGDD_in_F,Tmax_Winter,Tmax_Spring,Tmax_Summer,Tmax_Fall,Tmin_Winter,Tmin_Spring,Tmin_Summer,Tmin_Fall,Prcp_Winter,Prcp_Spring,Prcp_Summer,Prcp_Fall,Accum_Prcp,Daylength
2348,35.926178,-78.692719,129,NC,228,Prunus,yedoensis,Yoshino cherry,Plantae,4931,501,Open flowers,2009,3,29,88,2454920,-9999,2009,3,29,88,2454920,-9999,583.75,1050.75,11.91,21.46,30.93,21.07,-0.35,8.83,19.66,8.96,241,383,280,437,330,44237
2348,35.926178,-78.692719,129,NC,228,Prunus,yedoensis,Yoshino cherry,Plantae,4931,501,Open flowers,2010,3,24,83,2455280,3,2010,3,25,84,2455281,11,423.5,762.3,8.73,22.93,32.55,21.53,-2.14,9.29,21.04,10.31,383,282,285,373,243,43546
2424,35.875225,-78.737076,118,NC,228,Prunus,yedoensis,Yoshino cherry,Plantae,5076,501,Open flowers,2010,3,22,81,2455278,1,2010,3,28,87,2455284,-9999,403.75,726.75,8.76,22.92,32.59,21.62,-2.03,9.39,21.09,10.41,394,264,271,308,221,43200
5399,38.886761,-77.041016,2,DC,228,Prunus,yedoensis,Yoshino cherry,Plantae,11222,501,Open flowers,2011,4,5,95,2455657,-9999,2011,4,5,95,2455657,-9999,436.25,785.25,5.82,19.61,31.6,21.39,-3.07,8.47,20.46,9.7,171,301,361,316,266,45274
5399,38.886761,-77.041016,2,DC,228,Prunus,yedoensis,Yoshino cherry,Plantae,11223,501,Open flowers,2011,4,5,95,2455657,-9999,2011,4,5,95,2455657,-9999,436.25,785.25,5.82,19.61,31.6,21.39,-3.07,8.47,20.46,9.7,171,301,361,316,266,45274
5399,38.886761,-77.041016,2,DC,228,Prunus,yedoensis,Yoshino cherry,Plantae,11224,501,Open flowers,2011,4,5,95,2455657,-9999,2011,4,5,95,2455657,-9999,436.25,785.25,5.82,19.61,31.6,21.39,-3.07,8.47,20.46,9.7,171,301,361,316,266,45274
3,35.879211,-84.172203,284,TN,227,Prunus,serrulata,Japanese flowering cherry,Plantae,37258,501,Open flowers,2011,4,9,99,2455661,6,2011,4,9,99,2455661,12,726.25,1307.25,7.91,21.8,32.07,22.97,-2.42,9.21,19.66,8.95,289,472,260,369,433,45619
6432,37.799515,-122.412834,46,CA,227,Prunus,serrulata,Japanese flowering cherry,Plantae,18716,501,Open flowers,2012,3,29,89,2456016,34,2012,3,29,89,2456016,20,1008,1814.4,15.31,17.6,20.84,20.26,6.63,8.82,11.6,11.14,129,245,4,103,284,44237
6432,37.799515,-122.412834,46,CA,227,Prunus,serrulata,Japanese flowering cherry,Plantae,18717,501,Open flowers,2012,3,29,89,2456016,34,2012,3,29,89,2456016,20,1008,1814.4,15.31,17.6,20.84,20.26,6.63,8.82,11.6,11.14,129,245,4,103,284,44237
6432,37.799515,-122.412834,46,CA,227,Prunus,serrulata,Japanese flowering cherry,Plantae,18716,501,Open flowers,2013,3,23,82,2456375,11,2013,3,23,82,2456375,-9999,890.5,1602.9,14.51,19.51,21.72,20.16,6.11,9.28,12.49,11.18,248,60,12,210,52,43200
6432,37.799515,-122.412834,46,CA,227,Prunus,serrulata,Japanese flowering cherry,Plantae,18717,501,Open flowers,2013,3,23,82,2456375,11,2013,3,23,82,2456375,-9999,890.5,1602.9,14.51,19.51,21.72,20.16,6.11,9.28,12.49,11.18,248,60,12,210,52,43200
3,35.879211,-84.172203,284,TN,227,Prunus,serrulata,Japanese flowering cherry,Plantae,37258,501,Open flowers,2013,4,10,100,2456393,2,2013,4,24,114,2456407,4,629.5,1133.1,11.2,19.23,29.14,20.66,1.01,6.78,19,8.18,592,457,516,283,573,45965
10918,37.243382,-80.427132,651,VA,227,Prunus,serrulata,Japanese flowering cherry,Plantae,43410,501,Open flowers,2013,4,18,108,2456401,3,2013,5,2,122,2456415,-9999,431.5,776.7,7.37,15.1,25.89,17.22,-3.08,3.48,15.63,4.58,297,328,468,140,380,47002
