"location","lat","long","alt","year","bloom_date","bloom_doy"
"Japan/Wakkanai",45.415,141.678888888889,2.85,1953,1953-05-30,150
"Japan/Wakkanai",45.415,141.678888888889,2.85,1954,1954-05-27,147
"Japan/Wakkanai",45.415,141.678888888889,2.85,1955,1955-05-23,143
"Japan/Wakkanai",45.415,141.678888888889,2.85,1956,1956-05-14,135
"Japan/Wakkanai",45.415,141.678888888889,2.85,1957,1957-05-22,142
"Japan/Wakkanai",45.415,141.678888888889,2.85,1958,1958-05-25,145
"Japan/Wakkanai",45.415,141.678888888889,2.85,1959,1959-05-12,132
"Japan/Wakkanai",45.415,141.678888888889,2.85,1960,1960-05-24,145
"Japan/Wakkanai",45.415,141.678888888889,2.85,1961,1961-05-18,138
"Japan/Wakkanai",45.415,141.678888888889,2.85,1962,1962-05-17,137
"Japan/Wakkanai",45.415,141.678888888889,2.85,1963,1963-05-15,135
"Japan/Wakkanai",45.415,141.678888888889,2.85,1965,1965-05-22,142
"Japan/Wakkanai",45.415,141.678888888889,2.85,1974,1974-05-22,142
"Japan/Wakkanai",45.415,141.678888888889,2.85,1975,1975-05-22,142
"Japan/Wakkanai",45.415,141.678888888889,2.85,1976,1976-05-23,144
"Japan/Wakkanai",45.415,141.678888888889,2.85,1977,1977-05-26,146
"Japan/Wakkanai",45.415,141.678888888889,2.85,1978,1978-05-19,139
"Japan/Wakkanai",45.415,141.678888888889,2.85,1979,1979-05-26,146
"Japan/Wakkanai",45.415,141.678888888889,2.85,1980,1980-05-27,148
"Japan/Wakkanai",45.415,141.678888888889,2.85,1981,1981-05-15,135
"Japan/Wakkanai",45.415,141.678888888889,2.85,1982,1982-05-18,138
"Japan/Wakkanai",45.415,141.678888888889,2.85,1983,1983-05-12,132
"Japan/Wakkanai",45.415,141.678888888889,2.85,1984,1984-05-26,147
"Japan/Wakkanai",45.415,141.678888888889,2.85,1985,1985-05-17,137
"Japan/Wakkanai",45.415,141.678888888889,2.85,1986,1986-05-18,138
"Japan/Wakkanai",45.415,141.678888888889,2.85,1987,1987-05-19,139
"Japan/Wakkanai",45.415,141.678888888889,2.85,1988,1988-05-20,141
"Japan/Wakkanai",45.415,141.678888888889,2.85,1989,1989-05-19,139
"Japan/Wakkanai",45.415,141.678888888889,2.85,1990,1990-05-09,129
"Japan/Wakkanai",45.415,141.678888888889,2.85,1991,1991-05-18,138
"Japan/Wakkanai",45.415,141.678888888889,2.85,1992,1992-05-19,140
"Japan/Wakkanai",45.415,141.678888888889,2.85,1993,1993-05-18,138
