"location","lat","long","alt","year","bloom_date","bloom_doy"
"kyoto",35.0119831,135.6761135,44,812,0812-04-01,92
"kyoto",35.0119831,135.6761135,44,815,0815-04-15,105
"kyoto",35.0119831,135.6761135,44,831,0831-04-06,96
"kyoto",35.0119831,135.6761135,44,851,0851-04-18,108
"kyoto",35.0119831,135.6761135,44,853,0853-04-14,104
"kyoto",35.0119831,135.6761135,44,864,0864-04-09,100
"kyoto",35.0119831,135.6761135,44,866,0866-04-16,106
"kyoto",35.0119831,135.6761135,44,869,0869-04-05,95
"kyoto",35.0119831,135.6761135,44,889,0889-04-14,104
"kyoto",35.0119831,135.6761135,44,891,0891-04-19,109
"kyoto",35.0119831,135.6761135,44,892,0892-04-17,108
"kyoto",35.0119831,135.6761135,44,894,0894-04-16,106
"kyoto",35.0119831,135.6761135,44,895,0895-04-14,104
"kyoto",35.0119831,135.6761135,44,896,0896-04-13,104
"kyoto",35.0119831,135.6761135,44,902,0902-04-12,102
"kyoto",35.0119831,135.6761135,44,908,0908-04-07,98
"kyoto",35.0119831,135.6761135,44,912,0912-04-04,95
"kyoto",35.0119831,135.6761135,44,913,0913-04-20,110
"kyoto",35.0119831,135.6761135,44,917,0917-04-05,95
"kyoto",35.0119831,135.6761135,44,923,0923-04-14,104
"kyoto",35.0119831,135.6761135,44,926,0926-04-08,98
"kyoto",35.0119831,135.6761135,44,930,0930-04-07,97
"kyoto",35.0119831,135.6761135,44,933,0933-04-16,106
"kyoto",35.0119831,135.6761135,44,941,0941-04-19,109
"kyoto",35.0119831,135.6761135,44,949,0949-04-17,107
"kyoto",35.0119831,135.6761135,44,950,0950-04-05,95
"kyoto",35.0119831,135.6761135,44,955,0955-03-30,89
"kyoto",35.0119831,135.6761135,44,957,0957-04-22,112
"kyoto",35.0119831,135.6761135,44,958,0958-04-19,109
"kyoto",35.0119831,135.6761135,44,959,0959-04-07,97
"kyoto",35.0119831,135.6761135,44,960,0960-04-10,101
"kyoto",35.0119831,135.6761135,44,961,0961-03-28,87
"kyoto",35.0119831,135.6761135,44,963,0963-04-04,94
"kyoto",35.0119831,135.6761135,44,965,0965-04-14,104
"kyoto",35.0119831,135.6761135,44,966,0966-04-08,98
"kyoto",35.0119831,135.6761135,44,967,0967-04-13,103
"kyoto",35.0119831,135.6761135,44,969,0969-04-08,98
"kyoto",35.0119831,135.6761135,44,972,0972-04-16,107
"kyoto",35.0119831,135.6761135,44,974,0974-04-18,108
"kyoto",35.0119831,135.6761135,44,975,0975-04-11,101
"kyoto",35.0119831,135.6761135,44,977,0977-04-22,112
"kyoto",35.0119831,135.6761135,44,979,0979-04-14,104
"kyoto",35.0119831,135.6761135,44,985,0985-04-04,94
"kyoto",35.0119831,135.6761135,44,989,0989-04-10,100
"kyoto",35.0119831,135.6761135,44,991,0991-04-14,104
"kyoto",35.0119831,135.6761135,44,1000,1000-04-15,105
"kyoto",35.0119831,135.6761135,44,1004,1004-04-26,117
"kyoto",35.0119831,135.6761135,44,1006,1006-04-10,100
"kyoto",35.0119831,135.6761135,44,1007,1007-04-16,106
"kyoto",35.0119831,135.6761135,44,1014,1014-04-25,115
"kyoto",35.0119831,135.6761135,44,1016,1016-04-20,111
"kyoto",35.0119831,135.6761135,44,1017,1017-04-09,99
"kyoto",35.0119831,135.6761135,44,1018,1018-04-23,113
"kyoto",35.0119831,135.6761135,44,1019,1019-04-08,98
"kyoto",35.0119831,135.6761135,44,1029,1029-04-26,116
"kyoto",35.0119831,135.6761135,44,1031,1031-04-07,97
"kyoto",35.0119831,135.6761135,44,1032,1032-04-20,111
"kyoto",35.0119831,135.6761135,44,1033,1033-04-12,102
"kyoto",35.0119831,135.6761135,44,1034,1034-04-06,96
"kyoto",35.0119831,135.6761135,44,1036,1036-04-13,104
"kyoto",35.0119831,135.6761135,44,1041,1041-04-13,103
"kyoto",35.0119831,135.6761135,44,1046,1046-04-13,103
"kyoto",35.0119831,135.6761135,44,1048,1048-04-21,112
"kyoto",35.0119831,135.6761135,44,1050,1050-04-15,105
"kyoto",35.0119831,135.6761135,44,1060,1060-04-17,108
"kyoto",35.0119831,135.6761135,44,1061,1061-04-02,92
"kyoto",35.0119831,135.6761135,44,1066,1066-04-15,105
"kyoto",35.0119831,135.6761135,44,1071,1071-04-23,113
"kyoto",35.0119831,135.6761135,44,1073,1073-04-13,103
"kyoto",35.0119831,135.6761135,44,1080,1080-04-11,102
"kyoto",35.0119831,135.6761135,44,1083,1083-04-06,96
"kyoto",35.0119831,135.6761135,44,1084,1084-04-29,120
"kyoto",35.0119831,135.6761135,44,1088,1088-04-13,104
"kyoto",35.0119831,135.6761135,44,1090,1090-04-15,105
"kyoto",35.0119831,135.6761135,44,1093,1093-04-15,105
"kyoto",35.0119831,135.6761135,44,1095,1095-04-10,100
"kyoto",35.0119831,135.6761135,44,1096,1096-04-05,96
"kyoto",35.0119831,135.6761135,44,1098,1098-04-10,100
"kyoto",35.0119831,135.6761135,44,1099,1099-04-13,103
"kyoto",35.0119831,135.6761135,44,1102,1102-04-14,104
"kyoto",35.0119831,135.6761135,44,1104,1104-04-17,108
"kyoto",35.0119831,135.6761135,44,1105,1105-04-24,114
"kyoto",35.0119831,135.6761135,44,1107,1107-04-15,105
"kyoto",35.0119831,135.6761135,44,1111,1111-04-23,113
"kyoto",35.0119831,135.6761135,44,1112,1112-04-13,104
"kyoto",35.0119831,135.6761135,44,1114,1114-04-10,100
"kyoto",35.0119831,135.6761135,44,1117,1117-04-19,109
"kyoto",35.0119831,135.6761135,44,1118,1118-04-12,102
"kyoto",35.0119831,135.6761135,44,1120,1120-04-13,104
"kyoto",35.0119831,135.6761135,44,1123,1123-04-22,112
"kyoto",35.0119831,135.6761135,44,1124,1124-04-07,98
"kyoto",35.0119831,135.6761135,44,1125,1125-04-21,111
"kyoto",35.0119831,135.6761135,44,1126,1126-04-18,108
"kyoto",35.0119831,135.6761135,44,1127,1127-04-17,107
"kyoto",35.0119831,135.6761135,44,1128,1128-04-20,111
"kyoto",35.0119831,135.6761135,44,1129,1129-04-16,106
"kyoto",35.0119831,135.6761135,44,1130,1130-04-13,103
"kyoto",35.0119831,135.6761135,44,1131,1131-04-13,103
"kyoto",35.0119831,135.6761135,44,1134,1134-04-16,106
"kyoto",35.0119831,135.6761135,44,1139,1139-04-23,113
"kyoto",35.0119831,135.6761135,44,1140,1140-04-12,103
"kyoto",35.0119831,135.6761135,44,1141,1141-04-21,111
"kyoto",35.0119831,135.6761135,44,1143,1143-04-20,110
"kyoto",35.0119831,135.6761135,44,1145,1145-04-17,107
"kyoto",35.0119831,135.6761135,44,1151,1151-04-19,109
"kyoto",35.0119831,135.6761135,44,1154,1154-04-06,96
"kyoto",35.0119831,135.6761135,44,1156,1156-03-30,90
"kyoto",35.0119831,135.6761135,44,1159,1159-04-13,103
