"location","lat","long","alt","year","bloom_date","bloom_doy"
"liestal",47.4814,7.730519,350,1894,"1894-04-16",106
"liestal",47.4814,7.730519,350,1895,"1895-04-17",107
"liestal",47.4814,7.730519,350,1896,"1896-04-16",107
"liestal",47.4814,7.730519,350,1897,"1897-03-27",86
"liestal",47.4814,7.730519,350,1898,"1898-04-16",106
"liestal",47.4814,7.730519,350,1899,"1899-04-03",93
"liestal",47.4814,7.730519,350,1900,"1900-04-23",114
"liestal",47.4814,7.730519,350,1901,"1901-04-23",113
"liestal",47.4814,7.730519,350,1902,"1902-04-12",102
"liestal",47.4814,7.730519,350,1903,"1903-03-27",86
"liestal",47.4814,7.730519,350,1904,"1904-04-13",104
"liestal",47.4814,7.730519,350,1905,"1905-04-12",102
"liestal",47.4814,7.730519,350,1906,"1906-04-13",103
"liestal",47.4814,7.730519,350,1907,"1907-04-15",105
"liestal",47.4814,7.730519,350,1908,"1908-04-28",119
"liestal",47.4814,7.730519,350,1909,"1909-04-19",109
"liestal",47.4814,7.730519,350,1910,"1910-04-15",105
"liestal",47.4814,7.730519,350,1911,"1911-04-17",107
"liestal",47.4814,7.730519,350,1912,"1912-03-26",86
"liestal",47.4814,7.730519,350,1913,"1913-03-31",90
"liestal",47.4814,7.730519,350,1914,"1914-04-09",99
"liestal",47.4814,7.730519,350,1915,"1915-04-27",117
"liestal",47.4814,7.730519,350,1916,"1916-04-06",97
"liestal",47.4814,7.730519,350,1917,"1917-05-04",124
"liestal",47.4814,7.730519,350,1918,"1918-04-13",103
"liestal",47.4814,7.730519,350,1919,"1919-04-22",112
"liestal",47.4814,7.730519,350,1920,"1920-03-30",90
"liestal",47.4814,7.730519,350,1921,"1921-04-02",92
"liestal",47.4814,7.730519,350,1922,"1922-04-21",111
"liestal",47.4814,7.730519,350,1923,"1923-04-08",98
"liestal",47.4814,7.730519,350,1924,"1924-04-24",115
"liestal",47.4814,7.730519,350,1925,"1925-04-14",104
"liestal",47.4814,7.730519,350,1926,"1926-04-09",99
"liestal",47.4814,7.730519,350,1927,"1927-04-18",108
"liestal",47.4814,7.730519,350,1928,"1928-04-14",105
"liestal",47.4814,7.730519,350,1929,"1929-05-02",122
"liestal",47.4814,7.730519,350,1930,"1930-04-19",109
"liestal",47.4814,7.730519,350,1931,"1931-04-26",116
"liestal",47.4814,7.730519,350,1932,"1932-04-29",120
"liestal",47.4814,7.730519,350,1933,"1933-04-22",112
"liestal",47.4814,7.730519,350,1934,"1934-04-16",106
"liestal",47.4814,7.730519,350,1935,"1935-04-16",106
"liestal",47.4814,7.730519,350,1936,"1936-04-09",100
"liestal",47.4814,7.730519,350,1937,"1937-04-11",101
"liestal",47.4814,7.730519,350,1938,"1938-04-01",91
"liestal",47.4814,7.730519,350,1939,"1939-04-15",105
"liestal",47.4814,7.730519,350,1940,"1940-04-21",112
"liestal",47.4814,7.730519,350,1941,"1941-04-26",116
"liestal",47.4814,7.730519,350,1942,"1942-04-24",114
"liestal",47.4814,7.730519,350,1943,"1943-04-12",102
"liestal",47.4814,7.730519,350,1944,"1944-04-18",109
"liestal",47.4814,7.730519,350,1945,"1945-04-02",92
"liestal",47.4814,7.730519,350,1946,"1946-04-06",96
"liestal",47.4814,7.730519,350,1947,"1947-04-17",107
"liestal",47.4814,7.730519,350,1948,"1948-03-28",88
"liestal",47.4814,7.730519,350,1949,"1949-04-17",107
"liestal",47.4814,7.730519,350,1950,"1950-04-10",100
"liestal",47.4814,7.730519,350,1951,"1951-04-18",108
"liestal",47.4814,7.730519,350,1952,"1952-04-11",102
"liestal",47.4814,7.730519,350,1953,"1953-04-06",96
"liestal",47.4814,7.730519,350,1954,"1954-04-26",116
"liestal",47.4814,7.730519,350,1955,"1955-04-26",116
"liestal",47.4814,7.730519,350,1956,"1956-04-27",118
"liestal",47.4814,7.730519,350,1957,"1957-03-25",84
"liestal",47.4814,7.730519,350,1958,"1958-04-25",115
"liestal",47.4814,7.730519,350,1959,"1959-04-02",92
"liestal",47.4814,7.730519,350,1960,"1960-04-03",94
"liestal",47.4814,7.730519,350,1961,"1961-03-20",79
"liestal",47.4814,7.730519,350,1962,"1962-04-25",115
"liestal",47.4814,7.730519,350,1963,"1963-04-24",114
"liestal",47.4814,7.730519,350,1964,"1964-04-16",107
"liestal",47.4814,7.730519,350,1965,"1965-04-12",102
"liestal",47.4814,7.730519,350,1966,"1966-04-08",98
"liestal",47.4814,7.730519,350,1967,"1967-04-04",94
"liestal",47.4814,7.730519,350,1968,"1968-04-12",103
"liestal",47.4814,7.730519,350,1969,"1969-04-23",113
"liestal",47.4814,7.730519,350,1970,"1970-04-24",114
"liestal",47.4814,7.730519,350,1971,"1971-04-17",107
"liestal",47.4814,7.730519,350,1972,"1972-04-06",97
"liestal",47.4814,7.730519,350,1973,"1973-04-29",119
"liestal",47.4814,7.730519,350,1974,"1974-04-02",92
"liestal",47.4814,7.730519,350,1975,"1975-04-18",108
"liestal",47.4814,7.730519,350,1976,"1976-04-11",102
"liestal",47.4814,7.730519,350,1977,"1977-03-21",80
"liestal",47.4814,7.730519,350,1978,"1978-04-18",108
"liestal",47.4814,7.730519,350,1979,"1979-04-15",105
"liestal",47.4814,7.730519,350,1980,"1980-04-13",104
"liestal",47.4814,7.730519,350,1981,"1981-04-02",92
"liestal",47.4814,7.730519,350,1982,"1982-04-18",108
"liestal",47.4814,7.730519,350,1983,"1983-04-11",101
"liestal",47.4814,7.730519,350,1984,"1984-04-19",110
"liestal",47.4814,7.730519,350,1985,"1985-04-16",106
"liestal",47.4814,7.730519,350,1986,"1986-05-01",121
"liestal",47.4814,7.730519,350,1987,"1987-04-22",112
"liestal",47.4814,7.730519,350,1988,"1988-04-17",108
"liestal",47.4814,7.730519,350,1989,"1989-03-28",87
"liestal",47.4814,7.730519,350,1990,"1990-03-16",75
"liestal",47.4814,7.730519,350,1991,"1991-04-04",94
"liestal",47.4814,7.730519,350,1992,"1992-04-11",102
"liestal",47.4814,7.730519,350,1993,"1993-04-11",101
"liestal",47.4814,7.730519,350,1994,"1994-03-23",82
"liestal",47.4814,7.730519,350,1995,"1995-04-03",93
"liestal",47.4814,7.730519,350,1996,"1996-04-18",109
"liestal",47.4814,7.730519,350,1997,"1997-03-22",81
"liestal",47.4814,7.730519,350,1998,"1998-03-31",90
"liestal",47.4814,7.730519,350,1999,"1999-04-04",94
"liestal",47.4814,7.730519,350,2000,"2000-04-01",92
"liestal",47.4814,7.730519,350,2001,"2001-03-30",89
"liestal",47.4814,7.730519,350,2002,"2002-03-18",77
"liestal",47.4814,7.730519,350,2003,"2003-04-02",92
"liestal",47.4814,7.730519,350,2004,"2004-04-01",92
"liestal",47.4814,7.730519,350,2005,"2005-04-05",95
"liestal",47.4814,7.730519,350,2006,"2006-04-21",111
"liestal",47.4814,7.730519,350,2007,"2007-04-04",94
"liestal",47.4814,7.730519,350,2008,"2008-03-29",89
"liestal",47.4814,7.730519,350,2009,"2009-04-10",100
"liestal",47.4814,7.730519,350,2010,"2010-04-08",98
"liestal",47.4814,7.730519,350,2011,"2011-03-31",90
"liestal",47.4814,7.730519,350,2012,"2012-04-02",93
"liestal",47.4814,7.730519,350,2013,"2013-04-17",107
"liestal",47.4814,7.730519,350,2014,"2014-03-25",84
"liestal",47.4814,7.730519,350,2015,"2015-04-11",101
"liestal",47.4814,7.730519,350,2016,"2016-04-06",97
"liestal",47.4814,7.730519,350,2017,"2017-03-26",85
"liestal",47.4814,7.730519,350,2018,"2018-04-08",98
"liestal",47.4814,7.730519,350,2019,"2019-03-27",86
"liestal",47.4814,7.730519,350,2020,"2020-03-17",77
"liestal",47.4814,7.730519,350,2021,"2021-03-28",87
"liestal",47.4814,7.730519,350,2022,"2022-03-26",85
"liestal",47.4814,7.730519,350,2023,"2023-03-29",88
"liestal",47.4814,7.730519,350,2024,"2024-03-20",80
