"location","lat","long","alt","year","bloom_date","bloom_doy"
"Switzerland/Enges",47.056436,7.012192,820,1951,1951-05-05,125
"Switzerland/Fiesch",46.400261,8.127792,1100,1951,1951-04-25,115
"Switzerland/Liddes",45.988267,7.180528,1350,1951,1951-05-22,142
"Switzerland/Les Ponts-de-Martel",47.002858,6.728592,1120,1951,1951-05-29,149
"Switzerland/Orvin",47.157753,7.214464,700,1951,1951-04-27,117
"Switzerland/Posieux",46.761672,7.098294,680,1951,1951-04-26,116
"Switzerland/Schiers",46.965036,9.685814,800,1951,1951-04-26,116
"Switzerland/Seewis Dorf",46.965358,9.632064,960,1951,1951-04-27,117
"Switzerland/Trient",46.048003,6.993797,1300,1951,1951-05-24,144
"Switzerland/Vallorbe",46.712292,6.379286,850,1951,1951-05-25,145
"Switzerland/Zofingen",47.291794,7.941003,440,1951,1951-04-15,105
"Switzerland/Biel",47.151194,7.254139,490,1952,1952-04-16,107
"Switzerland/Enges",47.056436,7.012192,820,1952,1952-04-25,116
"Switzerland/Fiesch",46.400261,8.127792,1100,1952,1952-04-28,119
"Switzerland/Flawil",47.415283,9.182167,630,1952,1952-04-17,108
"Switzerland/Liddes",45.988267,7.180528,1350,1952,1952-05-05,126
"Switzerland/Liestal",47.481403,7.730519,350,1952,1952-04-13,104
"Switzerland/Les Ponts-de-Martel",47.002858,6.728592,1120,1952,1952-05-09,130
"Switzerland/Murg",47.108222,9.217372,500,1952,1952-04-10,101
"Switzerland/Orvin",47.157753,7.214464,700,1952,1952-04-18,109
"Switzerland/Rafz",47.620414,8.542733,515,1952,1952-04-17,108
"Switzerland/Schiers",46.965036,9.685814,800,1952,1952-04-20,111
"Switzerland/Seon",47.338319,8.153353,550,1952,1952-05-06,127
"Switzerland/Trient",46.048003,6.993797,1300,1952,1952-05-03,124
"Switzerland/Versoix",46.290431,6.137128,440,1952,1952-03-10,70
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1952,1952-04-25,116
"Switzerland/Wiliberg",47.279603,8.027331,650,1952,1952-04-20,111
"Switzerland/Zürich-Albisgütli",47.350869,8.510678,530,1952,1952-04-15,106
"Switzerland/Zofingen",47.291794,7.941003,440,1952,1952-04-23,114
"Switzerland/Andeer",46.600961,9.422614,985,1953,1953-05-01,121
"Switzerland/Fiesch",46.400261,8.127792,1100,1953,1953-04-20,110
"Switzerland/Flawil",47.415283,9.182167,630,1953,1953-04-21,111
"Switzerland/Liddes",45.988267,7.180528,1350,1953,1953-05-03,123
"Switzerland/Murg",47.108222,9.217372,500,1953,1953-04-10,100
"Switzerland/Orbe / Bochuz",46.722633,6.536061,485,1953,1953-04-18,108
"Switzerland/Orvin",47.157753,7.214464,700,1953,1953-04-20,110
"Switzerland/Rafz",47.620414,8.542733,515,1953,1953-04-18,108
"Switzerland/Seon",47.338319,8.153353,550,1953,1953-04-14,104
"Switzerland/Seewis Dorf",46.965358,9.632064,960,1953,1953-04-20,110
"Switzerland/Simplon-Dorf",46.195022,8.056794,1475,1953,1953-06-10,161
"Switzerland/Trient",46.048003,6.993797,1300,1953,1953-05-14,134
"Switzerland/Versoix",46.290431,6.137128,440,1953,1953-04-09,99
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1953,1953-04-21,111
"Switzerland/Wiliberg",47.279603,8.027331,650,1953,1953-04-20,110
"Switzerland/Zürich-Albisgütli",47.350869,8.510678,530,1953,1953-04-24,114
"Switzerland/Zofingen",47.291794,7.941003,440,1953,1953-04-18,108
