"location","lat","long","alt","year","bloom_date","bloom_doy"
"South Korea/Sokcho",38.25085,128.56472,18.06,1980,1980-04-21,112
"South Korea/Sokcho",38.25085,128.56472,18.06,1981,1981-04-19,109
"South Korea/Sokcho",38.25085,128.56472,18.06,1982,1982-04-12,102
"South Korea/Sokcho",38.25085,128.56472,18.06,1983,1983-04-18,108
"South Korea/Sokcho",38.25085,128.56472,18.06,1984,1984-05-07,128
"South Korea/Sokcho",38.25085,128.56472,18.06,1985,1985-04-22,112
"South Korea/Sokcho",38.25085,128.56472,18.06,1986,1986-04-23,113
"South Korea/Sokcho",38.25085,128.56472,18.06,1987,1987-04-17,107
"South Korea/Sokcho",38.25085,128.56472,18.06,1988,1988-04-18,109
"South Korea/Sokcho",38.25085,128.56472,18.06,1989,1989-04-03,93
"South Korea/Sokcho",38.25085,128.56472,18.06,1990,1990-04-12,102
"South Korea/Sokcho",38.25085,128.56472,18.06,1991,1991-04-22,112
"South Korea/Sokcho",38.25085,128.56472,18.06,1992,1992-04-11,102
"South Korea/Sokcho",38.25085,128.56472,18.06,1993,1993-04-12,102
"South Korea/Sokcho",38.25085,128.56472,18.06,1994,1994-04-19,109
"South Korea/Sokcho",38.25085,128.56472,18.06,1995,1995-04-21,111
"South Korea/Sokcho",38.25085,128.56472,18.06,1996,1996-04-23,114
"South Korea/Sokcho",38.25085,128.56472,18.06,2004,2004-04-08,99
"South Korea/Daegwallyeong",37.67713,128.71833,772.57,1982,1982-05-12,132
"South Korea/Daegwallyeong",37.67713,128.71833,772.57,1989,1989-06-15,166
"South Korea/Daegwallyeong",37.67713,128.71833,772.57,1990,1990-05-25,145
"South Korea/Daegwallyeong",37.67713,128.71833,772.57,1991,1991-05-21,141
"South Korea/Daegwallyeong",37.67713,128.71833,772.57,1992,1992-05-02,123
"South Korea/Daegwallyeong",37.67713,128.71833,772.57,1993,1993-05-15,135
"South Korea/Daegwallyeong",37.67713,128.71833,772.57,1994,1994-05-05,125
"South Korea/Chuncheon",37.90256,127.7357,76.47,1980,1980-04-25,116
"South Korea/Chuncheon",37.90256,127.7357,76.47,1981,1981-04-11,101
"South Korea/Chuncheon",37.90256,127.7357,76.47,1982,1982-04-24,114
"South Korea/Chuncheon",37.90256,127.7357,76.47,1983,1983-04-17,107
"South Korea/Chuncheon",37.90256,127.7357,76.47,1984,1984-04-25,116
"South Korea/Chuncheon",37.90256,127.7357,76.47,1985,1985-04-21,111
"South Korea/Chuncheon",37.90256,127.7357,76.47,1986,1986-04-17,107
"South Korea/Chuncheon",37.90256,127.7357,76.47,1987,1987-04-18,108
"South Korea/Chuncheon",37.90256,127.7357,76.47,1988,1988-04-21,112
"South Korea/Chuncheon",37.90256,127.7357,76.47,1989,1989-04-14,104
"South Korea/Chuncheon",37.90256,127.7357,76.47,1990,1990-04-12,102
"South Korea/Chuncheon",37.90256,127.7357,76.47,1991,1991-04-18,108
"South Korea/Chuncheon",37.90256,127.7357,76.47,1992,1992-04-09,100
"South Korea/Chuncheon",37.90256,127.7357,76.47,1993,1993-04-02,92
