"location","lat","long","alt","year","bloom_date","bloom_doy"
"washingtondc",38.8853496,-77.0386278,0,1921,1921-03-20,79
"washingtondc",38.8853496,-77.0386278,0,1922,1922-04-07,97
"washingtondc",38.8853496,-77.0386278,0,1923,1923-04-09,99
"washingtondc",38.8853496,-77.0386278,0,1924,1924-04-13,104
"washingtondc",38.8853496,-77.0386278,0,1925,1925-03-27,86
"washingtondc",38.8853496,-77.0386278,0,1926,1926-04-11,101
"washingtondc",38.8853496,-77.0386278,0,1927,1927-03-20,79
"washingtondc",38.8853496,-77.0386278,0,1928,1928-04-08,99
"washingtondc",38.8853496,-77.0386278,0,1929,1929-03-31,90
"washingtondc",38.8853496,-77.0386278,0,1930,1930-04-01,91
"washingtondc",38.8853496,-77.0386278,0,1931,1931-04-11,101
"washingtondc",38.8853496,-77.0386278,0,1932,1932-04-15,106
"washingtondc",38.8853496,-77.0386278,0,1933,1933-04-09,99
"washingtondc",38.8853496,-77.0386278,0,1934,1934-04-15,105
"washingtondc",38.8853496,-77.0386278,0,1935,1935-04-01,91
"washingtondc",38.8853496,-77.0386278,0,1936,1936-04-07,98
"washingtondc",38.8853496,-77.0386278,0,1937,1937-04-14,104
"washingtondc",38.8853496,-77.0386278,0,1938,1938-03-25,84
"washingtondc",38.8853496,-77.0386278,0,1939,1939-03-30,89
"washingtondc",38.8853496,-77.0386278,0,1940,1940-04-13,104
"washingtondc",38.8853496,-77.0386278,0,1941,1941-04-12,102
"washingtondc",38.8853496,-77.0386278,0,1942,1942-04-05,95
"washingtondc",38.8853496,-77.0386278,0,1943,1943-04-04,94
"washingtondc",38.8853496,-77.0386278,0,1944,1944-04-09,100
"washingtondc",38.8853496,-77.0386278,0,1945,1945-03-20,79
"washingtondc",38.8853496,-77.0386278,0,1946,1946-03-23,82
"washingtondc",38.8853496,-77.0386278,0,1947,1947-04-12,102
"washingtondc",38.8853496,-77.0386278,0,1948,1948-03-28,88
"washingtondc",38.8853496,-77.0386278,0,1949,1949-03-29,88
"washingtondc",38.8853496,-77.0386278,0,1950,1950-04-09,99
"washingtondc",38.8853496,-77.0386278,0,1951,1951-04-06,96
"washingtondc",38.8853496,-77.0386278,0,1952,1952-04-09,100
"washingtondc",38.8853496,-77.0386278,0,1953,1953-03-27,86
"washingtondc",38.8853496,-77.0386278,0,1954,1954-04-06,96
"washingtondc",38.8853496,-77.0386278,0,1955,1955-04-02,92
"washingtondc",38.8853496,-77.0386278,0,1956,1956-04-06,97
"washingtondc",38.8853496,-77.0386278,0,1957,1957-04-08,98
"washingtondc",38.8853496,-77.0386278,0,1958,1958-04-18,108
"washingtondc",38.8853496,-77.0386278,0,1959,1959-04-06,96
"washingtondc",38.8853496,-77.0386278,0,1960,1960-04-14,105
"washingtondc",38.8853496,-77.0386278,0,1961,1961-04-02,92
"washingtondc",38.8853496,-77.0386278,0,1962,1962-04-07,97
"washingtondc",38.8853496,-77.0386278,0,1963,1963-04-03,93
"washingtondc",38.8853496,-77.0386278,0,1964,1964-04-11,102
"washingtondc",38.8853496,-77.0386278,0,1965,1965-04-15,105
"washingtondc",38.8853496,-77.0386278,0,1966,1966-04-05,95
"washingtondc",38.8853496,-77.0386278,0,1967,1967-04-06,96
"washingtondc",38.8853496,-77.0386278,0,1968,1968-03-30,90
"washingtondc",38.8853496,-77.0386278,0,1969,1969-04-09,99
"washingtondc",38.8853496,-77.0386278,0,1970,1970-04-16,106
"washingtondc",38.8853496,-77.0386278,0,1971,1971-04-08,98
"washingtondc",38.8853496,-77.0386278,0,1972,1972-04-11,102
"washingtondc",38.8853496,-77.0386278,0,1973,1973-04-11,101
"washingtondc",38.8853496,-77.0386278,0,1974,1974-04-03,93
"washingtondc",38.8853496,-77.0386278,0,1975,1975-04-03,93
"washingtondc",38.8853496,-77.0386278,0,1976,1976-03-23,83
"washingtondc",38.8853496,-77.0386278,0,1977,1977-03-26,85
"washingtondc",38.8853496,-77.0386278,0,1978,1978-04-12,102
"washingtondc",38.8853496,-77.0386278,0,1979,1979-04-02,92
"washingtondc",38.8853496,-77.0386278,0,1980,1980-04-06,97
"washingtondc",38.8853496,-77.0386278,0,1981,1981-04-03,93
"washingtondc",38.8853496,-77.0386278,0,1982,1982-04-07,97
"washingtondc",38.8853496,-77.0386278,0,1983,1983-04-07,97
"washingtondc",38.8853496,-77.0386278,0,1984,1984-04-03,94
"washingtondc",38.8853496,-77.0386278,0,1985,1985-04-07,97
"washingtondc",38.8853496,-77.0386278,0,1986,1986-04-02,92
"washingtondc",38.8853496,-77.0386278,0,1987,1987-03-28,87
"washingtondc",38.8853496,-77.0386278,0,1988,1988-03-31,91
"washingtondc",38.8853496,-77.0386278,0,1989,1989-03-29,88
"washingtondc",38.8853496,-77.0386278,0,1990,1990-03-15,74
"washingtondc",38.8853496,-77.0386278,0,1991,1991-03-29,88
"washingtondc",38.8853496,-77.0386278,0,1992,1992-04-07,98
"washingtondc",38.8853496,-77.0386278,0,1993,1993-04-11,101
"washingtondc",38.8853496,-77.0386278,0,1994,1994-04-05,95
"washingtondc",38.8853496,-77.0386278,0,1995,1995-04-02,92
"washingtondc",38.8853496,-77.0386278,0,1996,1996-04-04,95
"washingtondc",38.8853496,-77.0386278,0,1997,1997-03-26,85
"washingtondc",38.8853496,-77.0386278,0,1998,1998-03-27,86
"washingtondc",38.8853496,-77.0386278,0,1999,1999-04-05,95
"washingtondc",38.8853496,-77.0386278,0,2000,2000-03-17,77
"washingtondc",38.8853496,-77.0386278,0,2001,2001-04-06,96
"washingtondc",38.8853496,-77.0386278,0,2002,2002-04-02,92
"washingtondc",38.8853496,-77.0386278,0,2003,2003-04-02,92
